,date,sales,index,trend,de-trend,T-3,T-4,T-5,T-6,T-7,MA3,MA5,Year,Month,Day,Weekday,Weekend,Firstdays,Lastdays
811,2021-09-20,34,12,10,24,24.0,40.0,16.0,41.0,25.0,24.333333333333332,27.4,2021,46.37837837837838,20,29.137931034482758,0,0,0
812,2021-09-21,24,13,11,13,24.0,24.0,40.0,16.0,41.0,24.333333333333332,24.2,2021,46.37837837837838,21,26.120689655172413,0,0,0
813,2021-09-22,39,14,11,28,15.0,24.0,24.0,40.0,16.0,32.333333333333336,27.2,2021,46.37837837837838,22,27.271186440677965,0,0,0
814,2021-09-23,54,15,11,43,34.0,15.0,24.0,24.0,40.0,39.0,33.2,2021,46.37837837837838,23,30.23728813559322,0,0,0
815,2021-09-24,31,16,11,20,24.0,34.0,15.0,24.0,24.0,41.333333333333336,36.4,2021,46.37837837837838,24,27.084745762711865,0,0,1
816,2021-09-25,20,17,11,9,39.0,24.0,34.0,15.0,24.0,35.0,33.6,2021,46.37837837837838,25,20.775862068965516,1,0,1
817,2021-09-27,27,18,11,16,54.0,39.0,24.0,34.0,15.0,26.0,34.2,2021,46.37837837837838,27,29.137931034482758,0,0,1
818,2021-09-28,35,19,11,24,31.0,54.0,39.0,24.0,34.0,27.333333333333332,33.4,2021,46.37837837837838,28,26.120689655172413,0,0,1
819,2021-09-29,31,20,11,20,20.0,31.0,54.0,39.0,24.0,31.0,28.8,2021,46.37837837837838,29,27.271186440677965,0,0,1
820,2021-09-30,93,21,11,82,27.0,20.0,31.0,54.0,39.0,53.0,41.2,2021,46.37837837837838,30,30.23728813559322,0,0,1
821,2021-10-01,20,22,11,9,35.0,27.0,20.0,31.0,54.0,48.0,41.2,2021,39.79245283018868,1,27.084745762711865,0,1,0
822,2021-10-02,12,23,11,1,31.0,35.0,27.0,20.0,31.0,41.666666666666664,38.2,2021,39.79245283018868,2,20.775862068965516,1,1,0
823,2021-10-04,14,24,12,2,93.0,31.0,35.0,27.0,20.0,15.333333333333334,34.0,2021,39.79245283018868,4,29.137931034482758,0,1,0
824,2021-10-05,9,25,12,-3,20.0,93.0,31.0,35.0,27.0,11.666666666666666,29.6,2021,39.79245283018868,5,26.120689655172413,0,1,0
825,2021-10-06,17,26,12,5,12.0,20.0,93.0,31.0,35.0,13.333333333333334,14.4,2021,39.79245283018868,6,27.271186440677965,0,1,0
826,2021-10-07,9,27,12,-3,14.0,12.0,20.0,93.0,31.0,11.666666666666666,12.2,2021,39.79245283018868,7,30.23728813559322,0,0,0
827,2021-10-08,22,28,12,10,9.0,14.0,12.0,20.0,93.0,16.0,14.2,2021,39.79245283018868,8,27.084745762711865,0,0,0
828,2021-10-09,25,29,12,13,17.0,9.0,14.0,12.0,20.0,18.666666666666668,16.4,2021,39.79245283018868,9,20.775862068965516,1,0,0
829,2021-10-11,26,30,12,14,9.0,17.0,9.0,14.0,12.0,24.333333333333332,19.8,2021,39.79245283018868,11,29.137931034482758,0,0,0
830,2021-10-12,16,31,12,4,22.0,9.0,17.0,9.0,14.0,22.333333333333332,19.6,2021,39.79245283018868,12,26.120689655172413,0,0,0
831,2021-10-13,27,32,12,15,25.0,22.0,9.0,17.0,9.0,23.0,23.2,2021,39.79245283018868,13,27.271186440677965,0,0,0
832,2021-10-14,29,33,12,17,26.0,25.0,22.0,9.0,17.0,24.0,24.6,2021,39.79245283018868,14,30.23728813559322,0,0,0
833,2021-10-15,23,34,12,11,16.0,26.0,25.0,22.0,9.0,26.333333333333332,24.2,2021,39.79245283018868,15,27.084745762711865,0,0,0
