Date,qty_ordered
2020-10-01,21
2020-10-01,11
2020-10-01,9
2020-10-01,9
2020-11-13,2
2020-11-13,2
2020-11-13,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-08,1
2020-10-21,1
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,2
2020-12-24,3
2020-12-24,3
2020-12-24,3
2020-12-28,3
2020-10-01,2
2020-10-01,2
2020-10-22,2
2020-10-24,11
2020-10-25,11
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-09,2
2020-10-16,2
2020-10-16,2
2020-10-17,2
2020-10-17,2
2020-10-19,2
2020-10-24,2
2020-10-24,2
2020-10-01,3
2020-10-01,2
2020-10-02,3
2020-10-02,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-19,2
2020-10-01,2
2020-10-09,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,4
2020-10-01,4
2020-10-01,2
2020-10-11,2
2020-10-11,2
2020-10-25,3
2020-11-01,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-08,2
2020-12-23,3
2020-12-23,2
2020-12-23,3
2020-12-23,3
2020-12-23,2
2020-12-23,2
2020-12-23,3
2020-12-23,2
2020-12-23,2
2020-12-23,2
2020-12-23,2
2021-02-01,2
2021-06-25,2
2021-06-25,2
2021-06-25,2
2021-06-25,2
2021-06-25,2
2021-06-25,2
2021-06-25,2
2021-06-25,2
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,1
2021-09-19,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-10,3
2020-10-10,2
2020-10-10,2
2020-10-10,2
2020-10-10,2
2020-10-14,2
2020-10-14,2
2020-10-14,2
2020-10-14,3
2020-10-14,2
2020-10-14,2
2020-10-14,2
2020-10-14,2
2020-10-14,3
2020-10-14,2
2020-10-14,2
2020-10-17,2
2020-10-17,2
2020-10-17,2
2020-10-17,2
2020-10-17,2
2020-10-17,2
2020-10-17,2
2020-11-07,2
2020-11-07,2
2020-11-07,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2021-02-17,3
2021-02-17,2
2021-04-02,3
2021-04-02,3
2021-04-02,3
2021-04-06,2
2021-04-06,3
2021-04-06,2
2021-04-06,2
2021-04-06,2
2021-04-12,4
2021-04-12,11
2021-04-12,9
2021-04-12,11
2021-07-23,2
2021-07-23,2
2021-07-23,2
2021-07-28,2
2021-07-28,2
2021-08-17,2
2020-10-01,2
2020-10-01,2
2020-10-25,2
2020-11-06,2
2020-11-21,2
2020-11-21,2
2020-11-21,2
2020-12-13,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-22,2
2020-12-22,2
2020-12-22,2
2020-12-22,3
2021-02-04,3
2021-03-01,3
2021-03-01,9
2021-03-01,2
2021-03-01,3
2021-03-03,3
2021-03-03,2
2021-04-03,1
2021-04-03,1
2021-04-15,3
2021-05-21,2
2020-10-01,1
2020-10-01,1
2020-10-12,2
2020-10-12,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2021-06-29,2
2021-06-29,2
2021-06-29,2
2021-06-29,2
2021-06-29,2
2021-06-29,2
2021-06-29,2
2021-06-29,2
2021-06-29,2
2021-06-29,2
2021-06-29,2
2021-06-29,3
2020-10-01,4
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-01,2
2020-10-01,3
2020-10-01,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-06,2
2020-10-12,2
2020-10-12,2
2020-10-12,2
2020-10-12,2
2020-10-01,1
2020-10-01,1
2020-10-05,2
2020-10-05,2
2020-10-05,1
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-12-01,2
2020-12-07,2
2020-12-07,2
2020-12-07,2
2020-12-07,1
2020-12-07,1
2020-12-07,2
2020-12-08,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-27,2
2020-12-27,3
2020-12-27,3
2020-12-27,3
2021-01-21,2
2021-01-24,2
2021-01-25,2
2021-02-09,3
2021-02-14,2
2021-02-19,1
2021-02-20,2
2021-02-26,2
2021-02-28,2
2021-03-17,2
2021-03-20,2
2021-03-25,2
2021-03-25,1
2021-03-27,2
2021-04-03,2
2021-04-03,2
2021-04-14,2
2021-05-19,2
2021-05-19,2
2021-05-19,2
2021-05-28,2
2021-05-28,2
2021-05-28,2
2021-05-30,2
2021-05-31,2
2021-06-08,3
2021-06-08,11
2021-06-08,11
2021-06-11,2
2021-06-20,2
2021-06-20,2
2021-06-20,2
2021-06-20,2
2021-06-24,2
2021-06-24,2
2021-06-29,2
2021-07-08,1
2021-07-08,2
2021-07-11,2
2021-07-22,1
2021-08-17,2
2021-09-11,2
2021-09-11,2
2021-09-11,2
2021-09-11,2
2021-09-16,1
2021-09-16,11
2021-09-16,11
2021-09-17,2
2020-10-01,2
2020-10-01,4
2020-10-01,2
2020-10-17,2
2020-10-17,2
2020-10-21,2
2021-02-20,3
2021-02-20,3
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-16,2
2020-10-16,2
2020-11-15,2
2020-11-15,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,3
