ds,y
2019-01-01,1
2019-01-02,31
2019-01-03,20
2019-01-04,21
2019-01-05,12
2019-01-07,34
2019-01-08,28
2019-01-09,25
2019-01-10,28
2019-01-11,32
2019-01-12,46
2019-01-14,33
2019-01-15,23
2019-01-16,22
2019-01-17,37
2019-01-18,25
2019-01-19,25
2019-01-21,39
2019-01-22,29
2019-01-23,30
2019-01-24,28
2019-01-25,29
2019-01-26,9
2019-01-28,34
2019-01-29,35
2019-01-30,22
2019-01-31,56
2019-02-01,20
2019-02-02,38
2019-02-04,28
2019-02-05,19
2019-02-06,16
2019-02-07,32
2019-02-08,28
2019-02-09,27
2019-02-11,23
2019-02-12,15
2019-02-13,42
2019-02-14,32
2019-02-15,27
2019-02-16,27
2019-02-18,33
2019-02-19,26
2019-02-20,23
2019-02-21,22
2019-02-22,18
2019-02-23,21
2019-02-25,38
2019-02-26,23
2019-02-27,28
2019-02-28,41
2019-03-01,7
2019-03-02,55
2019-03-04,17
2019-03-05,29
2019-03-06,28
2019-03-07,31
2019-03-08,26
2019-03-09,35
2019-03-11,33
2019-03-12,36
2019-03-13,28
2019-03-14,38
2019-03-15,28
2019-03-16,27
2019-03-18,37
2019-03-19,25
2019-03-20,36
2019-03-21,32
2019-03-22,37
2019-03-23,37
2019-03-25,44
2019-03-26,35
2019-03-27,36
2019-03-28,33
2019-03-29,29
2019-03-30,41
2019-04-01,15
2019-04-02,23
2019-04-03,17
2019-04-04,58
2019-04-05,43
2019-04-06,39
2019-04-08,44
2019-04-09,29
2019-04-10,41
2019-04-11,29
2019-04-12,35
2019-04-13,41
2019-04-15,35
2019-04-16,23
2019-04-17,36
2019-04-18,50
2019-04-19,31
2019-04-20,31
2019-04-22,49
2019-04-23,26
2019-04-24,29
2019-04-25,23
2019-04-26,27
2019-04-27,19
2019-04-29,40
2019-04-30,35
2019-05-01,24
2019-05-02,19
2019-05-03,24
2019-05-04,33
2019-05-06,26
2019-05-07,27
2019-05-08,29
2019-05-09,36
2019-05-10,76
2019-05-11,23
2019-05-13,32
2019-05-14,20
2019-05-15,32
2019-05-16,28
2019-05-17,19
2019-05-18,17
2019-05-20,39
2019-05-21,30
2019-05-22,37
2019-05-23,38
2019-05-24,18
2019-05-25,21
2019-05-27,31
2019-05-28,42
2019-05-29,20
2019-05-30,23
2019-05-31,43
2019-06-01,26
2019-06-03,15
2019-06-07,24
2019-06-08,30
2019-06-10,37
2019-06-11,24
2019-06-12,31
2019-06-13,27
2019-06-14,76
2019-06-15,29
2019-06-17,37
2019-06-18,51
2019-06-19,37
2019-06-20,46
2019-06-21,24
2019-06-22,19
2019-06-24,35
2019-06-25,22
2019-06-26,34
2019-06-27,31
2019-06-28,30
2019-06-29,36
2019-07-01,27
2019-07-02,25
2019-07-03,18
2019-07-04,24
2019-07-05,55
2019-07-06,31
2019-07-08,18
2019-07-09,59
2019-07-10,45
2019-07-11,25
2019-07-12,25
2019-07-13,41
2019-07-15,22
2019-07-16,40
2019-07-17,27
2019-07-18,16
2019-07-19,39
2019-07-20,28
2019-07-22,36
2019-07-23,37
2019-07-24,23
2019-07-25,18
2019-07-26,42
2019-07-27,18
2019-07-29,36
2019-07-30,16
2019-07-31,55
2019-08-01,16
2019-08-02,25
2019-08-03,22
2019-08-05,50
2019-08-06,39
2019-08-07,48
2019-08-08,77
2019-08-09,30
2019-08-10,13
2019-08-15,54
2019-08-16,38
2019-08-17,49
2019-08-19,31
2019-08-20,35
2019-08-21,39
2019-08-22,24
2019-08-23,47
2019-08-24,39
2019-08-26,51
2019-08-27,41
2019-08-28,38
2019-08-29,28
2019-08-30,27
2019-08-31,15
2019-09-02,30
2019-09-03,18
2019-09-04,30
2019-09-05,39
2019-09-06,39
2019-09-07,50
2019-09-09,33
2019-09-10,23
2019-09-11,29
2019-09-12,35
2019-09-13,48
2019-09-14,25
2019-09-16,34
2019-09-17,19
2019-09-18,26
2019-09-19,47
2019-09-20,26
2019-09-21,18
2019-09-23,64
2019-09-24,36
2019-09-25,34
2019-09-26,30
2019-09-27,38
2019-09-28,19
2019-09-30,62
2019-10-01,22
2019-10-02,22
2019-10-03,25
2019-10-04,14
2019-10-05,34
2019-10-07,49
2019-10-08,29
2019-10-09,24
2019-10-10,21
2019-10-11,31
2019-10-12,45
2019-10-14,39
2019-10-15,22
2019-10-16,25
2019-10-17,23
2019-10-18,19
2019-10-19,12
2019-10-21,62
2019-10-22,24
2019-10-23,43
2019-10-24,22
2019-10-25,21
2019-10-26,27
2019-10-28,79
2019-10-29,46
2019-10-30,33
2019-10-31,46
2019-11-01,20
2019-11-02,36
2019-11-03,3
2019-11-04,45
2019-11-05,30
2019-11-06,33
2019-11-07,23
2019-11-08,26
2019-11-09,57
2019-11-11,87
2019-11-12,41
2019-11-13,48
2019-11-14,47
2019-11-15,24
2019-11-16,43
2019-11-18,48
2019-11-19,37
2019-11-20,27
2019-11-21,34
2019-11-22,27
2019-11-23,39
2019-11-25,43
2019-11-26,51
2019-11-27,34
2019-11-28,45
2019-11-29,64
2019-11-30,38
2019-12-01,1
2019-12-02,29
2019-12-03,35
2019-12-04,33
2019-12-05,30
2019-12-06,36
2019-12-07,17
2019-12-09,45
2019-12-10,36
2019-12-11,35
2019-12-12,41
2019-12-13,38
2019-12-14,31
2019-12-16,40
2019-12-17,30
2019-12-18,23
2019-12-19,30
2019-12-20,30
2019-12-21,34
2019-12-23,38
2019-12-24,33
2019-12-25,25
2019-12-26,71
2019-12-27,46
2019-12-28,39
2019-12-30,44
2019-12-31,32
2020-01-01,1
2020-01-02,43
2020-01-03,40
2020-01-04,31
2020-01-06,38
2020-01-07,33
2020-01-08,36
2020-01-09,34
2020-01-10,35
2020-01-11,20
2020-01-13,40
2020-01-14,30
2020-01-15,29
2020-01-16,24
2020-01-17,27
2020-01-18,19
2020-01-20,35
2020-01-21,44
2020-01-22,37
2020-01-23,28
2020-01-24,26
2020-01-25,30
2020-01-27,33
2020-01-28,40
2020-01-29,27
2020-01-30,29
2020-01-31,66
2020-02-01,24
2020-02-03,39
2020-02-04,18
2020-02-05,27
2020-02-06,43
2020-02-07,22
2020-02-08,35
2020-02-10,33
2020-02-11,43
2020-02-12,34
2020-02-13,35
2020-02-14,23
2020-02-15,27
2020-02-17,43
2020-02-18,31
2020-02-19,30
2020-02-20,29
2020-02-21,16
2020-02-22,29
2020-02-24,59
2020-02-25,41
2020-02-26,33
2020-02-27,37
2020-02-28,30
2020-02-29,47
2020-03-02,36
2020-03-03,23
2020-03-04,41
2020-03-05,28
2020-03-06,31
2020-03-07,24
2020-03-09,49
2020-03-10,35
2020-03-11,43
2020-03-12,35
2020-03-13,25
2020-03-14,22
2020-03-16,24
2020-03-17,21
2020-03-18,36
2020-03-19,31
2020-03-20,42
2020-03-21,12
2020-03-22,1
2020-03-23,28
2020-03-24,14
2020-03-25,12
2020-03-26,19
2020-03-27,12
2020-03-28,39
2020-03-30,16
2020-03-31,40
2020-04-01,57
2020-04-02,11
2020-04-03,9
2020-04-04,8
2020-04-06,21
2020-04-07,12
2020-04-08,13
2020-04-09,19
2020-04-10,11
2020-04-13,27
2020-04-14,24
2020-04-15,16
2020-04-16,26
2020-04-17,21
2020-04-20,33
2020-04-21,16
2020-04-22,18
2020-04-27,43
2020-04-28,32
2020-04-29,31
2020-04-30,30
2020-05-04,50
2020-05-05,36
2020-05-06,46
2020-05-07,23
2020-05-08,39
2020-05-09,24
2020-05-11,50
2020-05-12,36
2020-05-13,27
2020-05-14,24
2020-05-15,20
2020-05-16,26
2020-05-18,35
2020-05-19,25
2020-05-20,23
2020-05-21,24
2020-05-22,17
2020-05-27,55
2020-05-28,41
2020-05-29,55
2020-05-30,23
2020-06-01,64
2020-06-02,43
2020-06-03,38
2020-06-04,27
2020-06-05,49
2020-06-06,27
2020-06-08,38
2020-06-09,74
2020-06-10,42
2020-06-11,31
2020-06-12,38
2020-06-13,31
2020-06-15,84
2020-06-16,6
2020-06-17,27
2020-06-18,15
2020-06-19,99
2020-06-20,11
2020-06-22,45
2020-06-23,32
2020-06-24,42
2020-06-25,83
2020-06-26,23
2020-06-27,11
2020-06-29,54
2020-06-30,41
