,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_renovated,street,city,statezip,country,ratio,estimate_bedrooms
97,406100.0,3.0,2.25,2139.462712603576,1332,3.0,0.0,0.0,3.0,1410.0,0.0,0.0,8536 Interlake Ave N,Seattle,WA 98103,USA,713.1542375345254,3.4122212322226093
98,1395000.0,5.0,3.5,4010.0,8510,2.0,0.0,1.0,5.0,2850.0,1160.0,0.0,3930 NE Belvoir Pl,Seattle,WA 98105,USA,802.0,6.395534290271132
100,570000.0,3.0,2.25,2010.0,6000,1.0,0.0,0.0,3.0,1330.0,680.0,0.0,10204 168th Pl NE,Redmond,WA 98052,USA,670.0,3.2057416267942584
101,787000.0,3.0,1.75,1330.0,7500,1.0,0.0,0.0,3.0,1330.0,0.0,2004.0,218 109th Ave SE,Bellevue,WA 98004,USA,443.3333333333333,2.121212121212121
102,328000.0,4.0,2.5,2370.0,6500,2.0,0.0,0.0,3.0,2370.0,0.0,2006.0,12621 SE 300th Way,Auburn,WA 98092,USA,592.5,3.7799043062200957
103,435000.0,5.0,2.0,1840.0,9240,1.0,0.0,0.0,4.0,1540.0,300.0,1958.0,14013 Ashworth Ave N,Seattle,WA 98133,USA,368.0,2.934609250398724
104,499000.0,4.0,2.5,2910.0,6479,2.0,0.0,0.0,3.0,2910.0,0.0,0.0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,727.5,4.641148325358851
105,501000.0,4.0,1.0,2070.0,7519,1.0,0.0,0.0,3.0,1160.0,910.0,2008.0,2506 166th Ave NE,Bellevue,WA 98008,USA,517.5,3.3014354066985647
125,449250.0,4.0,2.0,1480.0,3844,1.5,0.0,0.0,5.0,1480.0,0.0,1970.0,519 N 104th St,Seattle,WA 98133,USA,370.0,2.360446570972887
126,329950.0,2.0,1.0,1140.0,5250,1.5,0.0,0.0,4.0,1140.0,0.0,1985.0,14017 Roslyn Pl N,Seattle,WA 98133,USA,570.0,1.8181818181818181
127,245000.0,3.0,1.75,1920.0,9306,1.0,0.0,0.0,3.0,1000.0,920.0,0.0,30001-30021 55th Pl S,Auburn,WA 98001,USA,640.0,3.062200956937799
128,549000.0,4.0,2.5,2910.0,6338,2.0,0.0,0.0,3.0,2910.0,0.0,0.0,16026 SE 137th Terrace,Renton,WA 98059,USA,727.5,4.641148325358851
129,800000.0,3.0,2.5,3240.0,7857,2.0,0.0,0.0,3.0,3240.0,0.0,0.0,22721-22727 SE 27th St,Sammamish,WA 98075,USA,1080.0,5.167464114832536
