,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,a,b,c,damormertebe
100,570000.0,3.0,2.25,2010.0,6000,1.0,0.0,0.0,3.0,1330.0,680.0,1975.0,0.0,10204 168th Pl NE,Redmond,WA 98052,USA,1.5,True,small house,mertebe
102,328000.0,4.0,2.5,2370.0,6500,2.0,0.0,0.0,3.0,2370.0,0.0,1998.0,2006.0,12621 SE 300th Way,Auburn,WA 98092,USA,2.0,True,standard house,mertebe
103,435000.0,5.0,2.0,1840.0,9240,1.0,0.0,0.0,4.0,1540.0,300.0,1942.0,1958.0,14013 Ashworth Ave N,Seattle,WA 98133,USA,2.5,True,standard house,mertebe
104,499000.0,4.0,2.5,2910.0,6479,2.0,0.0,0.0,3.0,2910.0,0.0,2006.0,0.0,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,2.0,True,standard house,mertebe
105,501000.0,4.0,1.0,2070.0,7519,1.0,0.0,0.0,3.0,1160.0,910.0,1963.0,2008.0,2506 166th Ave NE,Bellevue,WA 98008,USA,2.0,True,standard house,mertebe
125,449250.0,4.0,2.0,1480.0,3844,1.5,0.0,0.0,5.0,1480.0,0.0,1928.0,1970.0,519 N 104th St,Seattle,WA 98133,USA,2.0,True,standard house,dam
126,329950.0,2.0,1.0,1140.0,5250,1.5,0.0,0.0,4.0,1140.0,0.0,1949.0,1985.0,14017 Roslyn Pl N,Seattle,WA 98133,USA,1.0,False,small house,dam
127,245000.0,3.0,1.75,1920.0,9306,1.0,0.0,0.0,3.0,1000.0,920.0,1984.0,0.0,30001-30021 55th Pl S,Auburn,WA 98001,USA,1.5,True,small house,mertebe
128,549000.0,4.0,2.5,2910.0,6338,2.0,0.0,0.0,3.0,2910.0,0.0,2008.0,0.0,16026 SE 137th Terrace,Renton,WA 98059,USA,2.0,True,standard house,mertebe
129,800000.0,3.0,2.5,3240.0,7857,2.0,0.0,0.0,3.0,3240.0,0.0,1994.0,0.0,22721-22727 SE 27th St,Sammamish,WA 98075,USA,1.5,True,small house,mertebe
131,210000.0,5.0,2.0,2050.0,10200,1.0,0.0,0.0,3.0,1430.0,620.0,1956.0,2001.0,20927-20999 2nd Ave S,Des Moines,WA 98198,USA,2.5,True,standard house,mertebe
134,615000.0,4.0,1.75,2300.0,11700,1.0,0.0,0.0,4.0,1960.0,340.0,1977.0,0.0,18427 NE 26th Way,Redmond,WA 98052,USA,2.0,True,standard house,mertebe
136,487585.0,4.0,1.75,2010.0,9211,1.0,0.0,0.0,3.0,1470.0,540.0,1977.0,2004.0,13313 127th Pl NE,Kirkland,WA 98034,USA,2.0,True,standard house,mertebe
137,509900.0,3.0,2.5,1790.0,2700,2.0,0.0,0.0,3.0,1790.0,0.0,2010.0,0.0,4532 185th Ave SE,Issaquah,WA 98027,USA,1.5,True,small house,mertebe
138,631625.0,4.0,2.5,2440.0,6651,2.0,0.0,0.0,3.0,2440.0,0.0,2014.0,0.0,9288-9358 Holman Rd NW,Seattle,WA 98117,USA,2.0,True,standard house,mertebe
139,555000.0,3.0,2.5,1940.0,3211,2.0,0.0,0.0,3.0,1940.0,0.0,2009.0,0.0,4509 185th Ave SE,Issaquah,WA 98027,USA,1.5,True,small house,mertebe
140,340000.0,2.0,1.5,1160.0,1438,2.0,0.0,0.0,3.0,1160.0,0.0,2001.0,0.0,1318 29th Ave S,Seattle,WA 98144,USA,1.0,False,small house,mertebe
157,329350.0,2.0,1.0,720.0,6687,1.0,0.0,0.0,3.0,720.0,0.0,1942.0,1999.0,9712 4th Ave NW,Seattle,WA 98117,USA,1.0,False,small house,mertebe
158,488000.0,5.0,2.0,2020.0,5000,1.5,0.0,0.0,4.0,2020.0,0.0,1938.0,0.0,9020-9024 11th Ave NW,Seattle,WA 98117,USA,2.5,True,standard house,dam
159,279900.0,3.0,1.75,1580.0,8151,1.0,0.0,1.0,4.0,1100.0,480.0,1962.0,0.0,1629 S 261st Pl,Des Moines,WA 98198,USA,1.5,True,small house,mertebe
160,606000.0,4.0,2.5,2110.0,13850,2.0,0.0,0.0,3.0,2110.0,0.0,1987.0,2000.0,2755 NW Pine Cone Dr,Issaquah,WA 98027,USA,2.0,True,standard house,mertebe
161,312000.0,4.0,2.0,1300.0,7054,1.0,0.0,0.0,3.0,1300.0,0.0,1950.0,2013.0,2815 SW 107th St,Seattle,WA 98146,USA,2.0,True,standard house,mertebe
162,650000.0,3.0,1.5,1630.0,7475,1.0,0.0,1.0,3.0,1160.0,470.0,1940.0,1996.0,6009 52nd Ave NE,Seattle,WA 98115,USA,1.5,True,small house,mertebe
163,1135000.0,4.0,2.75,3370.0,8103,1.0,0.0,3.0,3.0,1970.0,1400.0,1970.0,2014.0,3922 SW Henderson St,Seattle,WA 98136,USA,2.0,True,standard house,mertebe
164,325000.0,4.0,2.5,1890.0,6156,1.0,0.0,0.0,3.0,980.0,910.0,1980.0,0.0,5631 17th Ave SW,Seattle,WA 98106,USA,2.0,True,standard house,mertebe
165,425000.0,4.0,2.0,1520.0,7983,1.0,0.0,0.0,5.0,1520.0,0.0,1967.0,0.0,14876 Juanita Woodinville Way NE,Inglewood-Finn Hill,WA 98034,USA,2.0,True,standard house,mertebe
166,219000.0,2.0,1.0,900.0,5160,1.0,0.0,0.0,3.0,900.0,0.0,1952.0,2008.0,8652 17th Ave SW,Seattle,WA 98106,USA,1.0,False,small house,mertebe
167,250000.0,3.0,1.0,1050.0,6874,1.0,0.0,0.0,3.0,1050.0,0.0,1954.0,2005.0,18305 Dayton Ave N,Shoreline,WA 98133,USA,1.5,True,small house,mertebe
168,390000.0,3.0,1.75,1260.0,6500,1.0,0.0,0.0,4.0,1260.0,0.0,1966.0,0.0,1415 168th Ave NE,Bellevue,WA 98008,USA,1.5,True,small house,mertebe
169,475000.0,6.0,3.0,3470.0,117612,1.5,0.0,0.0,3.0,3470.0,0.0,1924.0,2011.0,19007 80th Ave NE,Kenmore,WA 98028,USA,3.0,True,large house,dam
170,736000.0,4.0,2.5,2290.0,12047,2.0,0.0,0.0,4.0,2290.0,0.0,1988.0,0.0,17435 SE 47th St,Bellevue,WA 98006,USA,2.0,True,standard house,mertebe
