,state,meanprice
0,ab,11172.036637931034
1,al,9142.307692307691
2,az,11545.815124127674
3,ca,14505.902786132225
4,co,15877.798713826367
5,fl,13877.443558984869
6,ga,12918.774503597122
7,hi,12190.824575586095
8,il,14790.459252320532
9,in,10715.57225433526
10,la,10521.617069831127
11,ma,6726.742458017536
12,md,7409.636583617135
13,mi,14886.21797434079
14,mn,13708.186021847492
15,mo,14466.192343720726
16,ms,11244.13019989195
17,nc,8660.956420233462
18,ne,12572.95664091702
19,nj,13609.10416066801
20,nm,6291.812865497076
21,ns,10213.11475409836
22,nv,15097.772014189988
23,ny,11374.536760835234
24,oh,14406.619235225957
25,ok,6918.055555555556
26,on,17812.623474723998
27,or,11558.484848484848
28,pa,15976.303133173798
29,pr,9410.770642201835
30,qc,13292.9718875502
31,sc,10326.172194777699
32,tn,17009.744340751375
33,tx,13209.665258205738
34,ut,12065.625816993464
35,va,8574.52565061944
36,wa,13945.389563106795
37,wi,14003.52918485433
