,label,lentitle,wctitle,punctitle,digittitle,capitaltitle,startitle,uppertitle3,uppertitle4,r_e,r_h,r_m,f_e,f_h,f_m
0,0,28,6,1,28,23,0,0,0,0,0,2,2,0,0
1,0,85,15,2,85,67,0,0,0,2,2,3,2,1,1
2,1,43,10,0,43,41,0,0,0,0,2,2,3,0,1
3,0,84,16,4,84,78,0,0,0,1,1,4,4,0,3
4,1,48,10,1,48,40,0,0,0,2,0,4,3,0,0
5,0,11,3,1,11,7,0,0,0,0,0,0,0,0,2
6,0,73,14,0,73,59,0,0,0,1,0,1,2,1,4
7,1,33,6,3,30,30,0,0,0,0,0,1,0,0,1
8,1,63,10,5,63,60,0,0,0,2,0,4,2,0,0
9,1,71,12,0,71,70,0,0,0,1,2,5,1,0,0
10,1,97,18,2,97,92,0,0,0,2,1,7,3,2,1
11,1,67,11,1,67,57,0,0,0,2,0,5,0,0,2
12,0,66,12,6,59,52,0,0,0,0,0,0,3,0,4
13,0,44,10,0,41,38,0,0,0,0,0,1,3,2,3
14,1,32,7,1,32,30,0,0,0,3,0,1,1,0,0
15,1,26,5,0,26,25,0,0,0,1,0,1,0,0,0
16,0,72,11,2,72,63,0,0,0,1,0,0,2,1,2
17,0,113,19,4,113,78,1,0,0,1,2,2,5,1,6
18,1,49,10,3,49,46,0,0,0,3,1,2,0,2,0
19,1,83,15,0,82,81,0,0,0,0,1,2,3,2,4
20,1,53,10,1,53,50,0,0,0,1,0,0,3,1,0
21,0,80,15,5,77,65,1,0,0,0,0,2,4,0,5
22,1,58,10,0,58,50,0,0,0,1,0,4,2,0,0
23,1,62,12,3,62,56,0,0,0,2,1,5,1,1,0
24,0,37,6,2,37,34,0,0,0,0,0,1,2,0,0
25,1,49,7,2,49,47,0,0,0,0,0,4,0,0,2
26,1,68,14,5,68,58,0,0,0,3,1,3,1,1,2
27,1,69,13,1,69,58,0,0,0,4,1,2,1,1,2
28,1,119,18,6,119,116,0,0,0,4,1,7,0,1,1
29,0,98,17,4,91,86,0,0,0,1,0,1,3,5,4
30,1,30,6,1,30,26,0,1,0,1,0,3,0,1,0
31,0,85,14,4,85,75,0,0,0,0,0,3,4,0,2
32,0,42,9,1,42,34,0,0,0,1,1,1,1,1,1
33,0,66,11,2,66,54,0,0,0,0,1,0,3,2,2
34,0,133,27,9,128,128,0,0,0,1,2,1,9,4,5
35,0,100,18,3,100,85,0,0,0,0,1,2,8,0,2
36,0,44,8,0,44,38,0,0,0,1,0,1,0,3,1
37,0,64,12,2,60,56,0,0,0,2,2,0,2,1,1
38,0,54,9,2,54,44,0,0,0,0,0,2,2,2,1
39,0,57,7,0,57,51,0,0,0,0,0,3,1,0,0
40,1,53,10,0,49,52,0,0,0,1,0,3,2,0,1
41,1,49,10,1,49,44,0,0,0,0,1,4,1,0,0
42,0,63,11,2,63,53,0,0,0,0,1,0,0,1,6
43,0,71,12,1,71,61,0,0,0,1,0,0,2,1,7
